,Име на локация,lat,lng,Марка/модел стнанция,,AC/DC,Мощност
267,VIA Park BG280,42.1250369,24.7215439,ABB,ABB Terra 54CJ,DC,  50 
268,VIA Park BG281,42.1250370,24.7215440,ABB,ABB Terra 24CG,DC,  24 
269,OMV Lulin BG282,42.7110230,23.2716540,ABB,ABB Terra 53CGJ,DC,  50 
270,Youth Center Burgas BG285,42.4960557,27.4657217,ABB,ABB DC Wallbox,DC,  24 
271,Youth Center Burgas BG286,42.4960558,27.4657218,ABB,ABB DC Wallbox,DC,  24 
272,Youth Center Burgas BG287,42.4960559,27.4657219,ABB,ABB DC Wallbox,DC,  24 
273,Youth Center Burgas BG288,42.4960560,27.4657220,ABB,ABB DC Wallbox,DC,  24 
274,Megapark BG283,42.6616069,23.3800239,Circontrol,Circontrol Wallbox,AC,  22 
275,Megapark BG284,42.6616070,23.3800240,Circontrol,Circontrol Wallbox,AC,  22 
276,Retail Park Pirdop BG289,42.7040100,24.1634420,ABB,ABB Terra 54CJ,DC,  50 
277,Sea Garden - Pomoriyska BG42,42.5070750,27.4819100,Circontrol,Circontrol Wallbox,AC,  22 
278,Sea Garden - Pomoriyska BG43,42.5070751,27.4819101,Circontrol,Circontrol Wallbox,AC,  22 
279,Sea Garden - Pomoriyska BG44,42.5070752,27.4819102,Circontrol,Circontrol Wallbox,AC,  22 
280,Lazur BG45,42.5033609,27.4789169,Circontrol,Circontrol Wallbox,AC,  22 
281,Lazur BG46,42.5033610,27.4789170,ABB,ABB DC Wallbox,DC,  24 
282,Rodopi BG291,42.5047219,27.4674719,Circontrol,Circontrol Wallbox,AC,  22 
283,Rodopi BG292,42.5047220,27.4674720,ABB,ABB DC Wallbox,DC,  24 
284,Megalan Studentski grad BG296,42.6541220,23.3463420,ABB,ABB Wallbox,AC,  22 
